Num_control_nodes,sub-010163,sub-010164,sub-010165,sub-010166,sub-010167,sub-010168,sub-010169,sub-010170,sub-010171,sub-010172,sub-010173,sub-010174,sub-010175,sub-010176,sub-010177,sub-010178,sub-010179,sub-010180,sub-010181,sub-010182,sub-010183,sub-010184,sub-010185,sub-010186,sub-010187,sub-010188,sub-010189,sub-010190,sub-010191,sub-010192,sub-010193,sub-010194,sub-010195,sub-010196,sub-010197,sub-010198,sub-010199,sub-010200,sub-010205,sub-010206,sub-010209,sub-010211,sub-010219,sub-010221,sub-010222,sub-010223,sub-010234,sub-010235,sub-010239,sub-010242,sub-010243,sub-010244,sub-010246,sub-010247,sub-010249,sub-010250,sub-010251,sub-010254,sub-010255,sub-010256,sub-010257,sub-010258,sub-010259,sub-010266,sub-010267,sub-010268,sub-010275,sub-010276,sub-010277,sub-010278,sub-010279,sub-010280,sub-010284,sub-010285,sub-010286,sub-010291
62,153.25072563906627,189.85602578515005,134.17133869261858,117.19299041346336,164.51144135886938,149.13089968275165,117.85767494788547,417.2917706756108,159.4622498530572,112.59669562829816,221.4059095791867,162.15458438557175,88.82035742057892,88.45537051665005,101.7688114909138,142.8137805962738,163.6246562806742,106.57144122016874,103.67996032619477,161.11883062370114,192.88549159058053,107.0916598584984,96.58922620113346,95.40929027785597,131.2322508450662,110.04177916766407,188.27802013414532,218.46349407950146,199.6509513076015,108.08799798024138,327.56129741315044,119.14133311262306,99.91418794259691,202.893526624558,312.49358076373113,209.9531354986095,125.8154127275942,143.83928368064372,96.82306932916535,108.57461133050607,129.82927152925132,154.88320558114975,189.58847207814074,89.73324437886134,239.99997526303167,287.87619869490123,171.7140144660477,118.5667466257186,186.66823330705947,128.88068852923033,111.8934405693335,118.13345649703334,88.09098075254695,120.74615559600792,133.57233588906936,123.52511590661058,180.32090129294812,149.41349514437448,156.8231739278506,201.74841253799642,152.77221581188968,114.75918366224285,172.46189374709942,197.943203212436,417.23331022785914,155.3287199215754,124.6092144088796,206.74396928295337,145.02638775141028,209.13851191105505,87.42138890739835,148.90067014224542,101.1633271087405,182.30337581329132,116.63971375977624,186.25884429777733
61,153.8264142902674,191.24078264750003,137.48497581932105,117.59787556195909,165.24563017074328,150.65932500390488,118.31262702159651,434.1478816749702,160.07789464259605,115.89105846152269,222.80986423589692,168.56764663563806,89.23605383896228,89.50390586065214,102.38176092870978,145.19246348855125,163.64885225259331,109.12093260002499,104.71452323143103,161.20684006095536,193.38435000793478,108.41823976948223,96.70463936073018,95.54786089285773,133.8640071436482,115.98837415673067,189.3514907910731,223.12404260137575,201.81766026007625,108.47918138443713,341.9272359111675,120.13924921658726,100.36275423128535,203.03066721050985,314.7594957098452,210.72806515496194,129.69150266764908,150.49803788833484,97.04393177213059,110.83305642224003,132.61742178484724,155.33993303311246,190.06459592104434,89.93567496233844,240.68138851157755,289.0825176790457,177.81375811121782,118.6162922009972,188.44120108919546,129.14459218036936,112.04063925664454,118.29546165110973,88.22869899463355,121.20981682243423,133.96729999804114,123.93312798114547,182.40820363348044,154.88141607250947,156.86024995768477,201.88198049619456,152.98931028827772,115.20018575920818,173.6787734514591,198.4598156823833,417.4875084913907,155.39243783018907,128.78778976461322,206.89644347709879,145.13761196912697,224.20170032935985,88.25503413277116,151.80230007940864,101.25326540922893,183.45545458964062,119.04868565600052,191.10877688229652
60,164.2465700750981,193.03313590969546,137.9031596817902,119.09974945285171,167.21357436304615,153.33224115811132,119.83405562659198,437.51053239070256,160.1559690420851,117.6769751815616,224.82808668377837,172.31957454104855,91.15702642988938,89.68175014415591,103.6276137567695,159.00141839477297,164.96460697662087,111.0694119978197,110.1079572434543,163.74067895766055,198.15853335266823,109.00200925116205,98.12514935620675,97.2443483813754,134.0408468204918,120.64278050995522,189.46706591652054,223.50733125064653,202.86381482348176,108.95039738155896,342.59755782420376,122.6194656046844,101.53165784227399,203.52588027582604,315.15566522737356,230.20420363836772,133.16092804252798,153.19850334894284,98.58574316649023,111.14115321449343,133.59782020437007,157.1449622876241,193.19513365559297,90.17657685555253,241.45872336018624,293.75310147142466,178.68846604502028,119.39016198622858,189.1038490532217,129.21607887906063,114.7974991013902,119.93980634727359,90.26578038195103,122.28168830324351,136.42960196596866,126.21234493723937,182.67435544927653,155.99497652857642,160.02447716902418,202.2852520062638,154.11991222389835,117.36492085471397,173.91460706439145,199.6764279433732,417.9341277099142,157.25260868359462,133.49142325634378,206.93094170588606,145.31726075499773,224.30794243815225,88.89345404414597,155.9776079357986,102.52358710422793,191.47232519968244,119.32460875971006,203.9484857505747
59,168.49270663821807,193.5291585996746,138.28215908204268,125.82094642428982,167.91506610595508,168.77162779383377,120.0248749483073,438.6249673337332,164.33340474241214,117.89192958836206,234.91655303016404,172.64722147605647,91.48332575511284,89.74429161462,104.36008361377192,161.59295870416233,176.08616478307195,115.82917746504545,111.86815288475945,164.0443659625355,198.35197629367502,109.38985501828539,99.35398472036243,97.60574001616362,134.44663886380056,120.93624156927137,190.2743370148792,225.27400220104477,203.0415515087511,110.71518266118221,344.7824384603129,126.88292786704528,101.92240818650156,204.0052919915158,323.4019390021684,233.90642421074813,133.96804037065732,153.73998753800336,98.65730937144016,112.60575130974979,133.963822528473,157.4005809259207,193.496593455213,92.01744087560078,241.9798805491106,306.45465048607684,183.90888159889357,119.6028445939087,193.7499962825933,129.6376554759256,115.14022344185108,120.80198277348522,91.77389690090494,122.5407040324946,140.5427589886729,127.27749608141029,182.94559567877621,179.49316984147563,162.05255984701824,204.45921807804726,159.3981777810724,126.34070659390581,177.77391812642497,199.81484550498928,428.2003504835472,162.06804852743844,135.62661925816988,207.17914709191393,149.50136732129386,226.20619381582836,92.76704080852565,171.54217742935163,119.1544348008661,191.9366875938596,120.28659078070912,216.1723263680171
58,168.7772629190703,193.8305367448359,138.56504842017293,128.9246003269863,208.57617035161934,169.25786719166211,121.35427921463456,458.5905824374059,164.41281040481812,118.01620119366996,242.08846026916154,172.97292877295143,91.54297693523999,91.35208395613797,104.9607764822549,169.17103697692457,177.27604480031835,118.30502872727841,112.48928307248507,164.40751024585126,205.09438182422548,111.00098453371018,99.9408553182713,98.60845379996817,136.1538006153201,121.5341646254569,191.50401332780618,225.76712264770504,203.34337183734377,111.4070549449016,369.73957434189555,129.64579046039407,102.97388519858796,207.42114571247947,324.3845231762869,235.20638436334718,134.29508945504443,155.4534837239421,100.58581070785027,112.92643294053977,135.24924532170763,157.53607316309575,194.62437645873695,92.46432924701139,244.66221933576566,320.4529691812264,183.94377855844243,123.28902612816908,218.2357942833914,130.49572528293064,115.4315333117839,122.69963908351708,91.84196752530379,126.48549749203043,141.0548816564778,130.93669548618712,184.4680089926445,181.20921483282208,162.1750739795745,204.8817762485285,160.0979157232063,127.28581527565872,178.6603268667836,203.75040955997653,428.66880364971274,164.4569460863796,137.05506569246455,216.95795787565203,149.6104335589321,226.2847249920746,96.14717808272592,172.88644416195123,119.30027719574791,192.03474572131407,121.07465259823582,218.63728615832704
57,168.797256006709,195.64873265037414,142.58595509095136,136.61331867801886,210.00070615991484,171.38603905996948,122.64451867398083,460.4797731718267,164.8718843234478,119.1835855428594,242.28671226661587,175.45193211076855,92.51115802313711,96.55955499248681,105.80443968647907,169.32726220946245,177.93421634027905,121.75003455687792,117.98683894906027,165.38430341334683,205.8521143124343,111.26220812187313,100.46488079828623,100.42917713597926,139.3710196277634,122.01174905478415,191.8257594574478,231.3920777546422,207.21928807892147,114.42152293866415,399.3319046534713,132.40792340216947,103.34342218358414,213.04947445790134,326.47479863619026,248.25219802602038,137.3672081313455,163.41137286953017,101.63474455151237,113.42418185104086,138.27072086170998,158.03470698185282,196.14633931531986,92.58335743472817,245.23043713707307,321.62771753163184,184.0340010985634,123.47290854281526,219.1938680303818,130.8071904925022,116.9869134089914,123.0540254366705,92.16327184192298,128.75410116088037,142.2209168919653,132.03445733575728,186.1733276347424,203.8291953599112,162.95486161321767,205.93354529856876,165.27252162149017,127.29390532584563,188.55700575573155,203.88967023797557,434.4248504079772,164.80397036019622,138.01403763850294,219.25113447832507,151.6191576344867,229.3676728867478,96.60870185903534,177.07115916215318,120.29115596956147,192.1622147239577,122.06270321332973,219.23813790495072
56,183.88032992211438,199.26373503420152,142.84376181379037,137.98731400382286,210.27827770567526,175.68396110746312,124.99062413567437,463.8178615904825,166.41260477193572,119.36270382782322,243.6464768656986,175.7958423961934,97.2332254850501,97.18541039919904,105.92531178928739,173.85226270464412,177.94962276684154,122.7665152726643,117.99143394356453,168.12260662632644,206.80557672029136,111.73959374992239,100.83805405942206,104.2635472651568,140.85875964308192,122.06639121166948,202.5919869138821,231.57193483837736,207.96379566681122,116.06995927080493,405.0122468227118,132.68501047146995,105.99008147925873,214.76929845239135,327.8924845743738,256.993043130066,137.6150861041605,164.52663861734618,103.04782197234331,125.4557980025512,138.42558699651673,193.31284299072797,197.90643510392448,92.96361705888746,245.7548681063196,323.8879144057319,185.69821022765203,124.32561501593183,219.56122784173238,131.48122557687427,118.49613237757598,124.34198162487814,92.26468758032503,130.16374037893425,142.67106165966268,132.75969354458857,187.91593505036602,207.81016050541618,163.1071433850863,206.57120986096416,171.34701179911184,127.6795541285761,188.60179329275115,205.6784224345445,438.73997682170386,174.37390407776678,139.62579073308368,219.36970231660695,151.96085182707148,233.35513904208887,96.87696962742693,177.46933781651614,120.49525424472951,196.65948232418336,122.2713672663409,219.69204607673785
55,187.24455120271026,199.7125007258081,142.9352302942702,140.50909557009476,218.27282690997802,176.0314732322001,125.45075175421422,464.38375719463704,166.86617439900775,119.55088087990579,257.5211872830897,190.05574036488983,98.78444398468591,97.22603519716267,106.34293620632292,184.2754983587173,178.65435929025568,125.70375551698754,121.19283475082554,169.60001186899714,209.8487334446883,113.79455742553606,104.99065451577364,104.30304984887728,149.05542584475515,122.81012174394175,203.99928426412623,231.6893830690259,209.72148879245222,116.76286026803847,407.52061429886936,135.93250436193867,108.7776609690745,215.0132327317163,330.8164805363467,257.5676604087785,139.37503545825817,165.02493988511415,104.89452688538972,125.7674563136734,145.8352428979661,195.3883487151843,199.02921845502354,94.82876684116236,248.19283201089385,325.72983261931336,186.0813303166317,124.62706750822852,220.32654506641012,132.52317921781398,119.11839229986555,124.98769408572886,92.9511308219182,143.23359768766397,145.89667657860983,133.69424128698387,188.28729669046297,242.4560724033787,164.66103081602793,206.65001480339907,172.32396149074992,127.74095583499013,193.30389681046802,206.5605045246882,444.06933237986357,175.61959952436231,144.49726229853675,220.07747185080694,153.0265090244687,233.5395179750364,98.0755841842924,177.96337803579814,123.38994499487521,217.57602076117942,122.37709863339269,222.85488162574802
54,191.19618968110026,202.5440191027828,143.57922492923225,140.89217151360936,236.84612909464033,176.96830737807213,128.059079738265,465.11694316344256,167.71022477603293,121.5193730950008,264.0145649587801,190.42865915462912,98.85906168930053,97.85144434220757,107.86573294332362,185.8829451026633,179.1004274845294,125.78675998671426,121.50275803742493,169.89713271541277,210.46067758062694,114.57480840214502,105.17521816059707,104.67622233798201,149.30815324650098,123.64573992850272,204.45786668535138,233.71584979639002,213.8490174779692,123.48037192369243,433.27220759597446,136.1458625659016,109.52351650341852,216.4865734497458,332.2902092824263,259.62687598261977,140.4508422285511,178.36677113085616,106.29201108278036,126.26749106490557,151.46063227984214,195.6570114577004,199.73018000902144,95.15284310027184,257.7100973767302,330.71168940108817,186.46663681013226,125.53973562414383,239.71848705592873,133.19580470229488,123.0236514008281,125.1277699715281,96.34347064207464,153.93517020030734,145.96177188025862,135.04692201555753,188.42907647978572,243.0531602532246,166.30758872962713,206.6738538435776,175.89094688073766,128.42531848133459,195.75683158557038,209.11128268346783,445.8540540974653,175.69870017913968,147.45949930444831,222.56963384172863,153.5204202362405,234.08745172141306,98.1969548184334,180.814149960953,123.49233688007799,229.87164706916226,122.5898329008474,223.6422548828783
53,191.92796725160864,214.1334988058954,143.8975388803734,141.5702082179847,239.4400017067373,178.88609753475072,130.4062487122284,478.08161032499646,167.78354691032536,124.57697187223472,283.4662141248026,191.62440981283174,100.03532415621015,98.24952608439044,109.239114047941,186.24908741549712,180.8387865869672,126.09690599083318,123.0818963295251,170.240756954575,210.83766680376596,115.69690533418088,106.77054656445615,107.33057804944742,149.67563094162557,124.47979595097989,205.23215351661355,235.75301480655992,216.93098098315184,128.3858720360787,476.91886291735443,140.80817519757596,112.39842926002282,216.51890019351725,334.88177635110105,269.72311294093663,140.75587193229725,179.36649616979528,106.90181878680505,126.65382673839122,153.17814379964082,196.36743153878618,201.9799138898398,96.6566046819722,272.60139562779256,342.0203920451854,191.9160074184594,125.71488752764587,250.50682222330616,136.15996242635669,123.30606444518605,136.63578208783898,105.96574398139776,156.96651597236573,146.45188982871767,137.45018222760675,189.6569237914339,246.01913027148493,167.80075827364936,277.02974607040693,185.73256753164833,128.4848541441877,196.9775858536577,210.65535407282772,447.8467254056044,179.32473634586987,147.5293177186322,222.75069628783936,153.77580097060527,281.56652867347174,99.18981500040799,183.71686937804586,123.61791268964822,232.58355257937117,125.04572838296292,230.63798363273708
