-25.748,-32.617,-17.383
-20.821,-78.735,4.4348
-48.29,-18.31,12.346
-54.596,-8.2486,33.449
-25.036,-24.757,61.217
-46.618,-56.808,-12.533
-40.5,-36.645,50.887
-15.444,-63.943,52.281
-37.564,1.5721,43.317
-58.621,-37.707,30.154
-41.604,-1.5853,-6.6107
-38.086,12.106,6.4412
-29.603,43.542,29.755
-5.1132,19.571,33.601
-10.631,-34.387,45.879
-6.1312,3.2227,61.455
-13.65,32.433,-19.885
-33.423,0.95411,-34.815
-56.666,-32.246,-21.154
-37.492,-53.963,46.362
-43.09,32.612,20.211
-9.5636,-73.095,37.491
-3.7439,-26.256,32.554
-53.451,-32.819,4.5776
-57.176,-50.054,11.681
-34.756,21.732,-11.001
-46.232,33.462,-1.7137
-7.8897,45.527,19.366
-23.021,59.933,-1.406
-40.956,14.419,47.863
-25.094,20.36,51.4
-8.5739,-54.418,22.96
31.652,-30.672,-21.401
33.797,-75.145,-2.3471
12.588,-73.4,13.192
50.175,-11.751,10.856
57.483,-5.1677,30.561
32.287,-23.443,59.175
50.843,-62.885,15.716
49.583,-23.774,41.959
32.898,-55.97,49.671
14.607,-52.511,65.656
38.496,3.7309,43.032
58.032,-42.116,13.323
60.25,-25.575,27.906
40.417,7.9829,0.66911
9.2954,-12.231,48.943
12.784,36.542,-19.497
38.362,-0.26983,-35.335
57.813,-38.647,43.174
45.203,-62.468,45.867
39.46,37.457,19.16
31.591,45.507,29.16
7.6006,-45.865,37.517
6.3428,26.684,31.531
54.736,-50.732,30.569
61.5,-23.392,-17.94
54.07,-9.9164,-9.7519
43.048,27.433,-6.8764
9.3007,47.066,20.273
26.087,24.164,49.418
9.8929,-53.342,22.418
-11.848,-17.564,7.9761
-12.462,10.996,9.2391
-24.914,3.8553,2.4013
-18.75,-0.03151,0.2105
-25.751,-54.519,-47.685
-26.027,-20.741,-10.133
11.998,-17.552,8.0868
13.836,12.074,9.4152
26.779,4.9129,2.4647
20.201,0.1755,0.22806
25.064,-56.34,-49.468
28.231,-19.783,-10.331
