Num_control_nodes,sub-010163,sub-010164,sub-010165,sub-010166,sub-010167,sub-010168,sub-010169,sub-010170,sub-010171,sub-010172,sub-010173,sub-010174,sub-010175,sub-010176,sub-010177,sub-010178,sub-010179,sub-010180,sub-010181,sub-010182,sub-010183,sub-010184,sub-010185,sub-010186,sub-010187,sub-010188,sub-010189,sub-010190,sub-010191,sub-010192,sub-010193,sub-010194,sub-010195,sub-010196,sub-010197,sub-010198,sub-010199,sub-010200,sub-010205,sub-010206,sub-010209,sub-010211,sub-010219,sub-010221,sub-010222,sub-010223,sub-010234,sub-010235,sub-010239,sub-010242,sub-010243,sub-010244,sub-010246,sub-010247,sub-010249,sub-010250,sub-010251,sub-010254,sub-010255,sub-010256,sub-010257,sub-010258,sub-010259,sub-010266,sub-010267,sub-010268,sub-010275,sub-010276,sub-010277,sub-010278,sub-010279,sub-010280,sub-010284,sub-010285,sub-010286,sub-010291
58,197.7259220225379,293.5506122883996,95.84375128855645,65.60991574895112,256.10073584514936,147.96638687154356,111.26921548037397,134.290460699261,227.2293548846269,90.37836070048164,106.6871563846739,78.42076101986248,137.72261615366298,103.45167661510592,96.66040471773913,170.3547336957856,129.46417935116347,233.97774259157427,113.22230244869105,54.91741287308059,107.67267344719393,70.22912437205134,43.57842078687787,51.351691826948546,193.6437526191828,166.3602662757061,108.16061725686535,190.0047749694558,413.96753387004185,109.35558745437183,134.00332836007635,98.3606614871813,130.0680513997995,155.51379135146504,136.27442411831942,227.33240126559025,85.66216039375406,189.09015247061075,266.9696364290747,109.86372544008186,156.44917434375216,133.96560952443673,156.47474074733756,73.89590187373331,280.0974477945486,235.93354662806314,257.78290238599345,124.62704616572749,263.4998528560245,233.62387180973903,175.0384240820741,175.95013543452063,251.60019361206898,211.96609383790087,171.5697290109767,223.1733518836433,87.58437952803169,175.8305052062106,215.52109266628136,127.61113841589695,301.8055377305969,168.67342206936772,167.95066705780178,158.75236960204717,194.40494742973235,264.33545820885996,124.74701823823969,132.95274882350952,114.09527833004773,134.07124608750865,85.49029580310571,143.7272954785649,165.07345154481501,236.4919724031803,136.37247392127694,380.7286110950017
57,198.3617504259989,295.43744316091534,96.33148116516999,78.43272673694851,257.46179605376415,150.10270198114878,111.6557160149122,134.44013489954497,230.04420623294416,93.30217779701387,107.01410144401467,79.94865735814845,139.6356619079958,122.15884708206531,103.41820058310304,177.14586345181073,130.64353595442284,234.8001034954481,116.20578056710268,55.78475113440543,108.34146345273241,71.1673835497642,44.299496673717734,54.36774289607043,200.7532738453138,167.02201629580574,108.80551472222857,195.0737566305363,415.01693400750577,109.9426114619467,146.6752571785924,106.53179329249072,131.22301771929622,161.6285160602565,137.13210312759804,227.39832124013708,91.10602453719754,189.21973261521543,271.350176622836,109.97611224087503,157.21301731887044,134.5721370333217,163.64247321767488,74.32292577066264,280.43369582635665,236.48997136343945,275.86081465398917,126.43237406155548,263.56527839868573,234.05513106451738,180.47348449822178,184.28385917706134,263.62272896846844,214.2028272829299,171.5927924817809,223.84866478770036,88.3951398078504,181.54243591957757,216.88403923688674,128.33332838264803,304.8363205663554,177.68888353338406,181.52328148913418,159.9392256221338,195.20554173581584,266.5309525209889,141.3064931680083,132.9546847903039,114.71655616247546,134.8877137931334,86.13545674068571,143.93687712371462,168.8649183387666,247.4187971754729,137.25325772715837,419.4733302197164
56,201.9596412592463,298.41759037932354,98.16050316061566,82.14694434747614,272.83728217725627,150.52201781922625,113.35960195062124,135.14645720727572,254.11550058301307,93.3739218381662,107.31081434976466,81.23626335306855,141.30048367450203,122.83940928413811,104.32410940506009,181.0177105698749,134.06369813102148,235.17046959034346,119.12800252216692,56.37969723589719,109.45446288087584,71.24989212648919,46.96227674430585,54.55963393000763,203.18066165677715,171.17652003218873,113.90075578548696,195.6301002311494,419.4330584635517,110.87002672286353,150.70874731309206,116.06311227461774,139.89318550314147,166.92465458475363,137.7155370841156,228.31288139331102,91.1096454592741,205.76421042854068,273.5229601654406,110.77530076919659,157.38422218453235,135.52701358428442,164.495151695504,74.38385975216106,291.36707660519585,237.04982890772658,281.918012961549,127.23905515329714,291.8624404350946,236.6360701130453,182.0704704972691,185.3726985898748,263.8939029103839,219.18809254242925,175.7482044478633,224.0519242230103,93.43153795443708,189.60642526547016,217.67787719879072,128.5119445353849,311.4038036397698,181.95743343161814,182.21325562874117,186.88444809901802,195.68296819660122,268.25559464111933,141.48294243841806,141.38269415664823,118.21493470011536,136.8997955962788,88.8608742895166,146.54116277076642,172.5417132812615,247.90586606015253,138.79745715499206,469.75922080557666
55,210.63899772243028,301.3073769961261,103.00061290172275,82.60415777210568,274.75679537850044,160.05178052456517,114.70101105663957,136.51512105078376,254.24166267163562,102.50414509402502,107.7541533510714,86.62434208836923,141.4122477441709,123.27905373988673,104.45170233227677,181.2539978837449,135.70383979154127,235.9558635229175,126.12590309892144,57.582253091593934,113.10120430239002,71.41302119964821,47.36903828167139,55.25098733041789,207.65785823612603,172.32571285113937,113.95473665370478,197.25826546003998,425.09827355124224,124.88837690272376,154.0037028957158,116.27977141201491,141.9895774858767,169.00469073127437,138.75819565910868,242.28023715912244,91.71501449143071,210.76036459204988,273.6207116096438,128.12326202681504,160.67750810951472,135.80132640505693,166.89958174129947,74.43908107951619,292.1251306101595,238.3238121595932,334.5768999004675,128.3059069538182,298.6340461270463,247.31836572158238,190.52252917796955,185.79900970376204,268.70466358873733,263.98549826100634,180.7787765244516,225.11286846137838,93.63972059872623,189.9216892488272,218.82096221859788,129.01727879808243,312.8358450541621,181.9999933744915,188.1897271196126,187.55886332329098,205.20781391272251,268.8874911820422,145.26572106135387,145.96206809887914,118.375824995475,156.55682668341922,90.00172009752544,147.7851339794161,173.67033479914514,250.10097378731683,139.60664855056854,470.45510059801956
54,244.5246043638732,306.0046655486144,103.45213815494171,82.6688046260958,275.769209678048,160.19755560805086,114.75793016943896,141.47885447918148,255.50916206080916,104.73327806408784,108.30147124932915,86.87274094691078,149.14130624794996,124.90462676191142,107.47403811742421,181.68535978517056,137.67428846551326,236.89424862356444,126.2786797656998,57.61287729100237,115.0128148371159,71.80912060110904,47.41570328928081,55.9293858404262,209.45679873455612,188.67546389562517,116.37492444304928,198.24837898395054,445.69218573435774,128.02524478831796,161.41558144872772,117.33678248885347,144.642863450452,170.07738726728746,142.1556754336536,246.25835743249658,92.5720450581593,211.29264763385825,280.67942693262,137.64796184330825,160.6870526179125,145.52685371370043,169.3585735695996,76.03721649017179,293.7440989843333,246.0801650496503,338.48396686640405,128.88568298626552,298.9740142678607,251.94706090624524,192.97973088413121,186.04315839450248,269.0667359544356,270.62122390648824,204.28459971866315,227.0304736132986,93.87566120061246,195.51081507666458,218.9507473940523,131.3821687876578,313.81957543270585,183.91693788438818,188.28755906002854,189.06887457506718,210.00347384971295,269.21864769118434,145.48232552091807,147.3646454182395,118.80155131139618,157.02608858075604,90.75092853428492,149.2795066358445,174.8690914663366,250.31880280479027,143.6723434344191,471.1328575729699
53,248.0309618242558,309.3989524942685,110.29271077897161,83.36061990846575,277.1251467058027,162.2659598879456,117.71196771050326,142.33387536573562,259.0000681001972,106.51175039413478,109.38955955163891,86.96190686935506,150.77655553754892,126.0787334338015,113.06128598645488,182.47143905727333,138.57104025011262,240.4931001842888,126.52937974486531,57.96419025517727,116.7351896350436,71.91620701527312,48.242155012151045,56.007617789833844,210.86828071299914,192.99429337925707,117.70613237271678,200.6787481348652,446.1587858420067,131.11838532026064,163.7286953833858,120.41235962149022,147.34874743352822,170.32887847506393,143.27016472396735,246.74307353422873,102.79223970754413,218.98666028199895,286.191284549016,139.15696867968765,164.81592743517612,146.31814228583173,169.95592258144862,76.24639909082954,294.06147785215495,246.81055343754622,340.34367848059827,129.89076453280734,300.2320011812056,255.25609961172339,197.49235940155603,188.06267517666865,271.9962822697218,274.91735186173224,204.7129005255831,228.65370816919645,94.64538854014582,195.67070059348308,219.0321667250359,132.10732592689277,335.9118971949095,185.76682447098574,192.6075344076567,189.92204998210315,212.29394004132473,271.3859256335063,151.99167728352518,149.26119509193668,123.23909875724438,160.40129523436707,94.09968931727376,154.1556446923973,175.04232093014033,250.4138508139109,144.20421940192406,479.59412131898335
52,248.72445553329166,310.6815882006316,110.4182107829644,83.56645570995748,299.31352929762863,163.8807236193204,130.37950215058885,148.37674895328024,260.26810094242484,107.64729302256008,111.72813418915985,88.36345535207144,155.763067427276,126.75468978228552,115.73405337162919,183.13536950035302,141.8564155917672,244.93191390159683,127.2466101832072,58.4337058883417,118.84761592837104,72.21719501327752,52.16094748999855,57.076876513936654,212.62139912338446,195.76857108666053,117.90999471499197,200.9253005623098,453.35779494253603,137.03768275010617,200.27826091441588,121.66282149963068,164.0404949411414,185.3433962447735,147.89478581883438,286.4624821294129,109.12655077178518,220.448889628127,288.9852442181592,140.47340422769383,166.60277855400932,146.74075092328007,170.48515149324783,76.64434713106033,299.4163026976209,267.74139277460347,341.097597665636,131.17417099515305,300.66378277598113,257.7919714781502,197.67136030414065,188.16416111268245,283.9175853417884,275.3908123568791,204.80284534162823,231.47120047265508,95.7739856207578,195.8152093732818,220.33226552385435,132.14568811103345,336.2267365482518,186.29727583965118,200.57013266072983,190.97964643080596,212.59829376007733,276.76129959855206,152.37465660686186,201.17755892313988,123.96233401522642,162.0219479478956,94.27492138900914,154.80060079253502,180.59713825168714,267.2372997378461,144.9250151816305,484.7206084687509
51,249.38731921051834,323.7587503458999,111.89532503408601,90.22321241649915,303.1141432300288,177.80162121386044,131.43905478747197,149.79326102765805,274.72893875388314,107.7926014362638,111.83462151485351,90.05452861127482,162.63542110914236,127.70130350239717,126.80955400612706,183.98459794910033,149.15140652943273,252.04393905598283,127.28182105187206,58.525698570213265,122.2138194203926,72.34319928126862,52.56952132784083,57.86427052544364,217.1771384025666,201.99399642078268,135.94533916143496,202.85313592373157,457.8908104137568,137.14741217139644,201.0787907648981,121.70238543870983,165.39567105578465,188.2584349158709,148.40285809215828,288.5904098641986,111.65199604402062,224.3571837647946,290.25685637951597,142.33079343209593,169.1930972162106,147.36909538964952,174.18137900892418,81.82878833045895,305.42666687762403,271.47958717771036,366.9342430586042,131.27613316533896,303.95431548518496,272.99925951988064,202.54853482308053,193.56659468000404,285.4717059987179,275.7679105688419,208.3278360594295,234.67018344749204,96.0922671784209,196.40520294602098,233.31522655388784,133.33998227390973,337.1052374833311,188.954043639995,201.38412433257986,193.82850263124087,217.86982735106753,278.1743370127684,162.1748324817148,216.5259613055925,137.95645719323934,162.48051093063614,95.72404330836547,156.90697552554568,203.98698827924147,272.9704819611606,146.94236490627125,486.34166125801295
50,273.9516938295871,331.7969101737562,112.3461899323402,91.28569180212992,304.419981722187,180.70280163990049,132.37686406540928,155.60252575063853,282.53673953186717,108.58755792185876,114.88178446070468,90.08667137303287,164.2388399731306,127.89218452147549,138.22996891578046,205.58982114871054,150.20041466234645,260.5414879122083,127.74328241086101,60.398816621375545,122.74657859736372,72.80274439016573,54.64008971698349,57.90674468546742,218.61435425459035,202.54711219523784,137.32330074406232,203.1519601465031,468.2181155535996,138.57498918863305,210.1515725654569,125.57847516390484,165.47606916232152,192.73914922976692,151.80666761428202,288.82691304227376,111.89759714394539,233.33306265726807,298.08405999384433,147.607619787921,206.44369677638642,157.00363543754298,174.22746233327558,82.35593048138072,305.79447367561227,271.61620015074124,367.41067964840397,131.46921851700804,305.0273375687835,278.896487445666,204.5731796952568,207.53346464841144,295.22510474210156,281.9820865985602,209.39170232488806,236.03384264090798,98.28031282419995,197.22993364659217,236.96321872810034,134.06737593472636,345.1264054436944,190.33313006360936,202.091257020602,196.89002577274726,234.5852459488172,280.1402148854999,162.86827313800035,217.94211520149997,138.80550548859244,165.7256826076842,97.10229013517085,159.5124187489492,208.1204571620949,276.8532707609985,151.9090221353598,490.7722553942815
49,277.3613253767969,337.00289237877496,114.33977271393984,91.933811784161,339.52618097371266,184.1261875640754,133.21010391854682,155.97886625114273,284.8976638204144,109.62661077961312,114.99953938766912,90.3835661109966,173.02651057612405,130.0805886676865,138.45009970018538,206.5887141942995,152.20351628354084,280.34449769387516,128.01921938693175,67.78953816108434,126.55613837838665,73.07586864236427,58.11833967302649,58.63894354294809,230.33429175236057,204.29894586869986,138.551730974633,203.20061097969415,474.2781961335716,142.79750923352756,210.2458269426223,126.69296620520396,173.02498715585057,193.87218474178627,153.30331544811534,290.8951984747053,112.24997081715811,234.2515160423413,298.22939046247745,147.7591281672227,208.38433825099335,164.44390324463222,175.9179929249321,83.10254164798198,307.08448911596395,272.9054335508251,406.463858727361,132.6983568252289,305.1139458853466,288.9651569296348,205.00342944806184,207.96953094362672,297.1322756493919,285.203394238921,221.91864242644616,236.9440459200874,99.49847542362618,204.25039130509015,242.51616104866983,145.54985506825102,360.81765327969475,191.67435394567846,202.33636773498841,200.35465799537755,246.26594298971804,294.05764487254663,163.2856293411492,218.5695283064961,140.18059784624185,170.69698994223154,97.24138347558835,171.63085895001393,244.143074622497,278.055313388107,156.26646857261417,504.7625372023066
